dns_time_ms,tcp_connect_ms,tls_time_ms,rtt_ms,http_status,response_size,time_of_day,domain_category,response_time_ms
43.868,39.231,51.556,33.48,200,32717,235,Social networking,435.006
1.05,34.251,49.278,33.69,200,32718,236,Social networking,671.797
7.457,35.312,44.923,33.98,200,32717,236,Social networking,583.217
9.882,33.832,39.729,33.71,200,32718,237,Social networking,578.009
16.737,46.451,41.248,32.32,200,32717,238,Social networking,603.667
28.174,46.421,41.878,31.63,200,48630,241,Social networking,653.33
1.709,46.3,35.653,41.86,200,48616,241,Social networking,552.579
8.471,31.359,39.411,31,200,48616,242,Social networking,536.397
10.128,46.415,35.168,29.92,200,48615,243,Social networking,553.883
12.055,36.288,54.517,33.49,200,48611,243,Social networking,612.927
1.333,26.543,45.899,25.78,200,85366,247,Search engine,224.57
13.334,27.018,54.652,25.87,200,85138,247,Search engine,233.676
13.908,27.887,54.624,27.29,200,85191,247,Search engine,231.27
1.48,27.451,45.216,27.27,200,85277,248,Search engine,210.483
13.343,36.212,63.908,29.31,200,85236,248,Search engine,257.41
10.298,32.079,55.328,25.74,200,85234,248,Search engine,229.815
8.453,27.949,52.381,26.78,200,85241,249,Search engine,240.404
33.992,45.834,49.511,26.83,200,395096,249,Social networking,1140.091
14.658,26.975,38.35,26.53,200,1462,251,Social networking,182.339
6.375,29.12,37.284,26.66,200,395751,251,Social networking,981.136
5.151,27.619,35.08,26.4,200,402450,252,Social networking,861.609
12.849,27.01,38.663,26.51,200,1462,253,Social networking,193.145
5.401,46.765,43.6,26.58,200,395996,253,Social networking,901.366
7.684,44.876,36.023,26.59,200,403062,254,Social networking,1365.671
19.826,92.056,52.405,35.26,200,1462,257,Social networking,392.153
3.578,29.869,130.789,25.26,200,881443,258,Entertainment,785.578
13.114,33.844,125.326,26.8,200,881092,259,Entertainment,744.611
12.644,30.273,131.216,27.04,200,883621,259,Entertainment,614.226
2.41,28.239,52.587,26.07,200,877395,300,Entertainment,381.813
10.627,27.185,54.326,25.72,200,883041,301,Entertainment,381.258
4.728,28.071,51.369,25.38,200,886014,302,Entertainment,360.384
15.376,47.308,84.522,27.9,200,884736,302,Entertainment,408.709
11.272,26.5,55.031,26.41,200,885935,303,Entertainment,367.529
32.235,64.964,73.256,58.47,200,196894,303,Shopping,451.457
3.595,64.479,73.779,57.28,200,196894,303,Shopping,419.69
2.103,61.739,77.077,60.88,200,196894,304,Shopping,425.093
12.761,60.65,71.621,58.07,200,196894,304,Shopping,406.5
10.56,62.076,85.293,58.55,200,196894,305,Shopping,431.082
2.064,67.475,76.973,57.14,200,196894,305,Shopping,452.763
12.086,59.36,67.723,58.04,200,196894,306,Shopping,402.649
1.518,61.032,77.646,58.98,200,196894,307,Shopping,420.96
4.82,60.511,71.81,58.03,200,196894,307,Shopping,435.276
39.268,7.325,14.992,6.74,200,281002,308,News,126.588
13.207,16.575,15.709,5.08,200,281002,308,News,114.026
9.656,9.456,15.417,7.83,200,281002,308,News,90.407
5.147,8.176,14.841,4.94,200,281002,308,News,109.198
10.876,7.356,16.297,6.78,200,281002,309,News,92.792
19.637,8.805,14.801,5.91,200,281002,309,News,97.296
7.241,8.009,13.958,5.44,200,281002,309,News,111.917
10.66,7.653,15.766,5.26,200,281002,309,News,95.158
14.58,62.067,70.189,58.29,200,119573,309,Reference,383.991
16.374,72.043,102.916,62.63,200,119573,309,Reference,488.467
3.68,73.258,72.241,67.24,200,119573,310,Reference,439.377
10.987,63.311,67.803,58.76,200,119573,311,Reference,392.859
12.481,61.116,74.186,58.92,200,119573,311,Reference,416.804
9.953,58.514,67.162,56.91,200,119573,312,Reference,373.854
13.124,61.445,69.273,60.37,200,119573,313,Reference,402.769
12.556,60.69,69.329,57.86,200,119573,313,Reference,385.006
7.748,7.091,24.049,6.61,200,423648,314,Education,96.987
7.718,7.49,24.814,6.26,200,423648,314,Education,161.512
6.453,14.943,37.477,5.84,200,423648,314,Education,127.583
13.872,9.137,24.658,5,200,423648,314,Education,106.235
6.801,8.138,42.212,5.27,200,423648,314,Education,122.292
12.379,7.913,23.749,7.41,200,423648,314,Education,115.171
10.54,8.802,25.867,8.24,200,423648,314,Education,103.897
6.376,7.178,27.672,5.55,200,423648,315,Education,91.919
13.686,7.696,27.378,5.81,200,423648,315,Education,112.896
6.659,8.359,26.872,7.43,200,430974,315,News,179.226
7.375,8.426,26.91,6.9,200,431259,315,News,198.283
6.701,7.206,14.506,5.3,200,431435,315,News,190.291
7.025,32.618,35.403,5.87,200,431441,316,News,224.836
5.63,17.837,32.425,7.68,200,431144,316,News,209.206
5.986,7.016,14.855,6.55,200,431441,316,News,175.787
6.592,7.295,28.06,6.2,200,430968,316,News,205.827
9.452,7.242,27.833,6.89,200,431441,317,News,237.123
12.863,7.815,29.055,4.84,200,431435,317,News,218.654
44.854,30.96,38.649,27.51,200,151651,317,Technology,236.835
11.002,144.063,77.377,28.17,200,151651,317,Technology,383.946
8.652,27.34,54.356,26.78,200,151651,318,Technology,224.712
14.286,29.346,71.549,27.65,200,151651,318,Technology,249.403
1.833,46.259,50.296,26.18,200,151651,319,Technology,250.741
16.846,30.667,77.424,27.9,200,1118872,320,Social networking,843.016
26.606,52.13,63.979,26.01,200,1119184,321,Social networking,1438.838
18.404,28.394,63.156,25.73,200,1373896,322,Social networking,1367.171
18.317,28.245,79.424,24.86,200,1118857,324,Social networking,1182.147
16.342,30.251,76.422,27.05,200,1321200,325,Social networking,1443.889
9.241,27.249,62.821,25.25,200,1119225,326,Social networking,1438.694
19.69,33.437,61.534,28.69,200,1172201,328,Social networking,1167.772
18.414,31.979,83.806,24.57,200,1370881,329,Social networking,1025.235
14.648,27.868,57.542,27.03,200,1119226,330,Social networking,1459.832
18.122,28.148,67.418,25.09,200,1118952,331,Social networking,957.271
41.313,28.543,63.896,28.19,200,201253,332,Technology,294.85
13.816,29.214,87.614,27.49,200,201253,333,Technology,288.152
10.571,29.274,63.648,27.48,200,201253,334,Technology,244.262
4.2,27.39,64.551,27.16,200,201253,335,Technology,239.551
12.472,28.74,66.429,28.71,200,201253,335,Technology,250.453
17.116,8.259,40.81,6.57,200,122884,335,Search engine,223.684
14.017,8.226,42.052,7.54,200,122884,336,Search engine,228.478
12.71,7.719,30.948,5.87,200,122884,336,Search engine,152.373
4.934,7.167,41.749,6.95,200,122884,336,Search engine,170.163
12.982,8.748,55.201,7.42,200,122884,336,Search engine,1071.503
13.299,9.022,36.477,7.86,200,122884,337,Search engine,136.329
12.823,31.943,33.069,15.73,200,122884,337,Search engine,257.029
15.212,11.279,34.166,6.37,200,122884,338,Search engine,181.996
6.741,10.474,38.872,6.66,200,122884,338,Search engine,177.122
4.111,31.964,41.049,31.38,200,464087,339,Shopping,292.587
1.983,35.116,51.309,31.58,200,464087,339,Shopping,296.092
6.976,33.069,63.039,32.62,200,464087,340,Shopping,304.743
8.165,37.066,52.593,33,200,464087,340,Shopping,300.982
14.004,35.104,55.77,32.78,200,464087,341,Shopping,310.304
10.733,34.893,50.156,32.4,200,464087,341,Shopping,309.973
6.434,34.495,51.676,32.34,200,464087,341,Shopping,353.36
3.677,32.697,38.932,31.15,200,32716,30247,Social networking,326.825
4.92,61.577,71.001,30.72,200,32717,30248,Social networking,454.542
15.287,62.846,46.184,36.18,200,32717,30249,Social networking,406.416
8.845,33.78,39.06,28.67,200,32718,30250,Social networking,369.354
1.567,34.882,36.445,32.86,200,48752,30252,Social networking,623.313
14.743,46.202,37.601,29.55,200,48752,30253,Social networking,636.732
2.444,30.493,36.47,28.8,200,48752,30253,Social networking,623.512
14.868,32.412,38.386,28.88,200,48752,30254,Social networking,638.207
5.865,46.13,39.357,29.87,200,48752,30256,Social networking,663.267
2.686,47.054,52.11,25.25,200,85236,30258,Search engine,232.988
10.418,25.163,50.914,23.1,200,85217,30258,Search engine,213.945
2.718,37.588,45.111,24.76,200,85199,30258,Search engine,223.22
15.913,28.086,54.301,25.28,200,85391,30258,Search engine,243.382
13.244,29.408,53.052,24.45,200,85584,30259,Search engine,261.651
16.771,26.762,56.156,24.92,200,85539,30259,Search engine,230.499
4.682,32.731,66.053,27.43,200,85571,30259,Search engine,260.445
15.98,46.509,49.144,37.37,200,85277,30259,Search engine,259.952
4.827,31.607,49.042,23.4,200,85297,30300,Search engine,231.289
41.356,28.383,36.696,26.49,200,1462,30300,Social networking,212.293
1.551,45.983,51.517,25.98,200,1462,30301,Social networking,206.577
3.639,185.6,114.293,25.04,200,394975,30302,Social networking,1356.888
10.487,178.41,31.729,28.32,200,394979,30303,Social networking,1020.02
5.106,98.861,47.69,26.49,200,1462,30306,Social networking,347.559
6.369,25.779,165.799,25.01,200,1462,30306,Social networking,301.663
15.745,76.77,39.465,30.09,200,1462,30307,Social networking,223.817
8.451,32.394,65.215,29.5,200,880483,30307,Entertainment,479.094
3.935,32.427,47.722,29.57,200,880210,30307,Entertainment,415.587
2.481,48.525,67.83,30.94,200,879616,30308,Entertainment,531.802
9.674,46.544,48.886,33.47,200,881257,30311,Entertainment,507.094
16.498,59.666,74.629,58.81,200,196894,30313,Shopping,411.286
16.202,60.395,73.027,59.96,200,196894,30314,Shopping,411.859
13.68,77.605,73.762,57.78,200,196894,30314,Shopping,439.764
10.514,62.248,86.332,58.06,200,196894,30315,Shopping,445.704
3.54,78.121,74.001,56.98,200,196894,30316,Shopping,428.273
10.644,62.95,70.854,58.96,200,196894,30316,Shopping,446.3
18.97,31.403,17.53,5.66,200,280286,30317,News,143.905
7.983,6.731,14.198,4.96,200,280286,30317,News,84.542
7.884,7.037,13.515,5.37,200,280286,30317,News,173.577
13.075,30.538,13.406,5.65,200,280286,30317,News,123.52
6.993,6.641,14.153,4.95,200,280286,30318,News,84.003
7.679,31.272,18.759,5.14,200,280286,30318,News,131.928
4.324,32.757,14.124,8.7,200,280286,30318,News,144.583
2.925,30.059,14.383,6.36,200,280286,30318,News,110.717
1.891,62.397,68.436,60.17,200,119573,30319,Reference,381.077
13.237,65.063,75.013,59.7,200,119573,30319,Reference,428.706
4.715,57.255,76.713,57.22,200,119573,30321,Reference,408.024
1.269,77.815,70.016,59.83,200,119573,30321,Reference,389.375
17.13,63.603,68.51,59.92,200,119573,30322,Reference,396.192
7.724,60.72,72.385,58.33,200,119573,30322,Reference,390.496
3.831,79.231,69.157,59.86,200,119573,30322,Reference,444.942
13.991,30.41,36.66,17.18,200,423648,30323,Education,200.515
8.589,6.849,27.076,4.95,200,423648,30323,Education,181.817
0.858,6.929,25.143,6.66,200,423648,30324,Education,153.03
4.641,6.556,58.516,4.48,200,423648,30324,Education,170.187
11.005,6.978,28.55,5.91,200,423648,30324,Education,171.741
1.483,8.109,27.37,6.56,200,423648,30325,Education,140.753
3.554,31.8,13.581,10.87,200,431382,30325,News,282.613
6.373,8.815,24.785,6.53,200,431507,30325,News,242.031
3.145,15.789,19.282,4.83,200,431370,30325,News,315.369
6.46,31.253,19.74,5.74,200,431507,30326,News,336.185
6.716,7.243,28.147,5.31,200,431749,30326,News,203.442
11.801,30.311,19.066,4.88,200,431270,30327,News,231.663
1.565,31.835,18.896,5.7,200,431737,30327,News,243.792
13.689,31.315,19.534,7.52,200,431270,30327,News,246.602
7.396,9.564,26.208,4.63,200,431573,30327,News,206.514
35.414,28.438,34.318,27.89,200,151651,30328,Technology,235.848
2.721,27.186,38.816,24.9,200,151651,30328,Technology,221.05
15.44,29.368,52.624,27.03,200,151651,30329,Technology,233.771
11.626,33.161,37.851,31.48,200,151651,30329,Technology,215.177
14.08,30.284,39.061,26.34,200,151651,30329,Technology,259.829
1.903,31.421,50.4,26.16,200,151651,30330,Technology,249.378
15.908,27.807,35.635,27.07,200,151651,30330,Technology,217.279
1.865,79.645,67.431,57.27,200,1118338,30333,Social networking,1132.029
15.019,57.651,65.898,57.45,200,1119008,30334,Social networking,1206.906
45.267,59.291,76.11,58.52,200,1119318,30335,Social networking,1238.646
2.916,79.1,68.465,64.12,200,1119083,30338,Social networking,1458.398
2.535,61.947,82.522,57.67,200,1119094,30339,Social networking,1147.249
15.569,59.353,69.509,57.94,200,1320842,30342,Social networking,1315.617
16.369,31.542,62.17,29.48,200,201253,30344,Technology,263.772
10.965,46.728,67.243,31.15,200,201253,30344,Technology,269.054
9.043,28.523,91.887,24.92,200,201253,30344,Technology,325.068
10.976,45.666,68.42,27.82,200,201253,30345,Technology,327.971
11.71,46.054,66.747,26.52,200,201253,30345,Technology,301.61
1.137,40.733,101.577,27.84,200,201253,30346,Technology,353.465
5.52,27.279,66.081,27.1,200,201253,30346,Technology,242.077
58.25,32.656,37,11.89,200,122884,30347,Search engine,257.106
14.185,7.318,46.817,5,200,122884,30347,Search engine,188.054
7.696,6.974,32.654,5.45,200,122884,30347,Search engine,188.373
9.843,7.192,91.109,5.93,200,122884,30347,Search engine,267.673
8.33,7.321,34.442,5.63,200,122884,30348,Search engine,205.708
5.068,9.916,84.601,7,200,122884,30348,Search engine,207.92
4.907,8.883,91.419,6.56,200,122884,30348,Search engine,248.199
