dns_time_ms,tcp_connect_ms,tls_time_ms,rtt_ms,response_size,time_of_day,domain_category,response_time_ms,actual_response_time_ms,predicted_response_time_ms,residual_ms,abs_residual_ms
11.351,32.854,112.192,31.47,48758,210349,social networking,736.701,736.701,1691.125,-954.424,954.424
13.802,167.467,136.291,29.67,281977,210413,news,867.063,867.063,285.6210945945946,581.4419054054054,581.4419054054054
49.31,46.713,46.866,36.04,437426,180212,shopping,963.568,963.568,399.02133333333336,564.5466666666666,564.5466666666666
13.258,28.989,58.18,24.84,1119215,90049,social networking,1479.879,1479.879,961.4781666666668,518.4008333333331,518.4008333333331
9.241,27.249,62.821,25.25,1119225,326,social networking,1438.694,1438.694,957.271,481.423,481.423
8.774,50.895,66.581,47.87,1118920,210438,social networking,1635.343,1635.343,1158.5790000000002,476.7639999999999,476.7639999999999
7.684,44.876,36.023,26.59,403062,254,social networking,1365.671,1365.671,938.2113999999999,427.45960000000014,427.45960000000014
35.504,47.366,49.682,30.97,454055,150101,shopping,648.722,648.722,285.6210945945946,363.1009054054054,363.1009054054054
26.606,52.13,63.979,26.01,1119184,321,social networking,1438.838,1438.838,1158.5790000000002,280.2589999999998,280.2589999999998
18.317,28.245,79.424,24.86,1118857,324,social networking,1182.147,1182.147,957.271,224.87599999999998,224.87599999999998
