dns_time_ms,tcp_connect_ms,tls_time_ms,rtt_ms,response_size,time_of_day,domain_category,response_time_ms,actual_response_time_ms,predicted_response_time_ms,residual_ms,abs_residual_ms
7.684,44.876,36.023,26.59,403062,254,social networking,1365.671,1365.671,672.5375313103709,693.1334686896291,693.1334686896291
8.774,50.895,66.581,47.87,1118920,210438,social networking,1635.343,1635.343,1183.3452113926196,451.99778860738047,451.99778860738047
49.31,46.713,46.866,36.04,437426,180212,shopping,963.568,963.568,524.392779092153,439.175220907847,439.175220907847
13.258,28.989,58.18,24.84,1119215,90049,social networking,1479.879,1479.879,1092.079054970593,387.7999450294069,387.7999450294069
9.241,27.249,62.821,25.25,1119225,326,social networking,1438.694,1438.694,1084.5365047481564,354.15749525184356,354.15749525184356
7.545,34.234,48.599,28.35,403146,150021,social networking,996.426,996.426,652.8205003194337,343.60549968056637,343.60549968056637
15.745,76.77,39.465,30.09,1462,30307,social networking,223.817,223.817,548.8082225389153,-324.9912225389153,324.9912225389153
16.846,30.667,77.424,27.9,1118872,320,social networking,843.016,843.016,1135.7468797132692,-292.73087971326925,292.73087971326925
6.545,27.435,58.49,24.65,1119301,60817,social networking,796.357,796.357,1077.2304732404118,-280.87347324041184,280.87347324041184
26.606,52.13,63.979,26.01,1119184,321,social networking,1438.838,1438.838,1188.1969583491027,250.64104165089725,250.64104165089725
