dns_time_ms,tcp_connect_ms,tls_time_ms,rtt_ms,response_size,time_of_day,domain_category,response_time_ms,actual_response_time_ms,predicted_response_time_ms,residual_ms,abs_residual_ms
8.774,50.895,66.581,47.87,1118920,210438,social networking,1635.343,1635.343,1146.0925310379862,489.2504689620139,489.2504689620139
7.684,44.876,36.023,26.59,403062,254,social networking,1365.671,1365.671,910.5060485270654,455.1649514729346,455.1649514729346
13.258,28.989,58.18,24.84,1119215,90049,social networking,1479.879,1479.879,1065.8701323106068,414.0088676893931,414.0088676893931
6.545,27.435,58.49,24.65,1119301,60817,social networking,796.357,796.357,1150.9217330833342,-354.5647330833342,354.5647330833342
16.846,30.667,77.424,27.9,1118872,320,social networking,843.016,843.016,1154.0283799370588,-311.0123799370589,311.0123799370589
26.606,52.13,63.979,26.01,1119184,321,social networking,1438.838,1438.838,1167.1575088840189,271.6804911159811,271.6804911159811
4.8,27.345,66.089,26.79,1321185,60820,social networking,966.642,966.642,1230.1488405369869,-263.50684053698683,263.50684053698683
9.241,27.249,62.821,25.25,1119225,326,social networking,1438.694,1438.694,1180.9643091960786,257.72969080392136,257.72969080392136
13.802,167.467,136.291,29.67,281977,210413,news,867.063,867.063,617.8197863433845,249.24321365661547,249.24321365661547
37.788,36.534,46.806,32.94,403721,90021,social networking,810.568,810.568,997.4691378821746,-186.90113788217457,186.90113788217457
