model,feature,value,value_type
linear_regression,dns_time_ms,23.788327144055796,coefficient
linear_regression,tcp_connect_ms,50.21456472092737,coefficient
linear_regression,tls_time_ms,27.838377026170594,coefficient
linear_regression,rtt_ms,38.30599881309322,coefficient
linear_regression,response_size,182.6451503775637,coefficient
linear_regression,time_sin,7.523094384349149,coefficient
linear_regression,time_cos,3.1424755896237375,coefficient
linear_regression,domain_category_entertainment,-14.231386342108088,coefficient
linear_regression,domain_category_news,32.64574826976883,coefficient
linear_regression,domain_category_reference,38.49355421527638,coefficient
linear_regression,domain_category_search engine,74.13419856749738,coefficient
linear_regression,domain_category_shopping,42.77864166086683,coefficient
linear_regression,domain_category_social networking,185.24396811437623,coefficient
linear_regression,domain_category_technology,40.640512920462974,coefficient
decision_tree,dns_time_ms,0.024697626417408948,importance
decision_tree,tcp_connect_ms,0.013402657517953847,importance
decision_tree,tls_time_ms,0.02602073569442716,importance
decision_tree,rtt_ms,0.15974751406824608,importance
decision_tree,response_size,0.6970977412177928,importance
decision_tree,time_sin,0.012435959653321851,importance
decision_tree,time_cos,0.021892197862044764,importance
decision_tree,domain_category_entertainment,0.0,importance
decision_tree,domain_category_news,0.0,importance
decision_tree,domain_category_reference,0.0,importance
decision_tree,domain_category_search engine,0.00010125759838560835,importance
decision_tree,domain_category_shopping,0.0,importance
decision_tree,domain_category_social networking,0.044604309970418865,importance
decision_tree,domain_category_technology,0.0,importance
random_forest,dns_time_ms,0.03605531924941614,importance
random_forest,tcp_connect_ms,0.03131393113455296,importance
random_forest,tls_time_ms,0.036924087010471826,importance
random_forest,rtt_ms,0.17506856408873195,importance
random_forest,response_size,0.6369953764134032,importance
random_forest,time_sin,0.012422940568243227,importance
random_forest,time_cos,0.01926002713353086,importance
random_forest,domain_category_entertainment,0.0029946442746813244,importance
random_forest,domain_category_news,0.0003767514955309471,importance
random_forest,domain_category_reference,8.883635013225318e-05,importance
random_forest,domain_category_search engine,0.00030906076325241147,importance
random_forest,domain_category_shopping,0.0010188547014750636,importance
random_forest,domain_category_social networking,0.04667885540861621,importance
random_forest,domain_category_technology,0.0004927514079616411,importance
